,domain_20
s_016um_00176_00399-1,11
s_016um_00177_00367-1,9
s_016um_00271_00373-1,4
s_016um_00111_00197-1,9
s_016um_00138_00216-1,7
s_016um_00257_00016-1,18
s_016um_00244_00346-1,4
s_016um_00203_00367-1,4
s_016um_00059_00365-1,16
s_016um_00259_00153-1,16
s_016um_00107_00012-1,10
s_016um_00306_00327-1,20
s_016um_00301_00098-1,18
s_016um_00275_00317-1,17
s_016um_00233_00184-1,10
s_016um_00113_00270-1,5
s_016um_00150_00163-1,10
s_016um_00256_00184-1,8
s_016um_00131_00332-1,17
s_016um_00311_00059-1,13
s_016um_00120_00010-1,10
s_016um_00045_00054-1,8
s_016um_00281_00252-1,17
s_016um_00136_00080-1,10
s_016um_00358_00244-1,8
s_016um_00201_00074-1,3
s_016um_00141_00041-1,9
s_016um_00011_00073-1,9
s_016um_00027_00006-1,8
s_016um_00332_00225-1,17
s_016um_00047_00265-1,8
s_016um_00211_00174-1,15
s_016um_00114_00072-1,3
s_016um_00147_00270-1,5
s_016um_00357_00371-1,8
s_016um_00180_00246-1,12
s_016um_00335_00308-1,13
s_016um_00063_00013-1,8
s_016um_00172_00346-1,16
s_016um_00155_00377-1,20
s_016um_00200_00224-1,8
s_016um_00269_00352-1,4
s_016um_00047_00337-1,11
s_016um_00049_00060-1,8
s_016um_00152_00110-1,17
s_016um_00279_00225-1,11
s_016um_00267_00314-1,11
s_016um_00228_00169-1,20
s_016um_00212_00161-1,3
s_016um_00237_00145-1,16
s_016um_00066_00007-1,8
s_016um_00069_00322-1,17
s_016um_00069_00002-1,6
s_016um_00271_00349-1,16
s_016um_00298_00359-1,9
s_016um_00260_00333-1,16
s_016um_00136_00368-1,14
s_016um_00206_00006-1,18
s_016um_00276_00401-1,11
s_016um_00084_00357-1,11
s_016um_00166_00106-1,8
s_016um_00104_00298-1,5
s_016um_00272_00090-1,16
s_016um_00081_00023-1,8
s_016um_00000_00019-1,8
s_016um_00345_00278-1,13
s_016um_00285_00362-1,8
s_016um_00352_00234-1,1
s_016um_00230_00200-1,13
s_016um_00020_00025-1,6
s_016um_00242_00277-1,17
s_016um_00061_00265-1,12
s_016um_00189_00131-1,6
s_016um_00135_00159-1,17
s_016um_00282_00104-1,18
s_016um_00353_00295-1,8
s_016um_00087_00225-1,15
s_016um_00280_00071-1,20
s_016um_00226_00229-1,9
s_016um_00167_00414-1,14
s_016um_00320_00231-1,18
s_016um_00247_00215-1,8
s_016um_00287_00194-1,11
s_016um_00250_00163-1,18
s_016um_00065_00359-1,16
s_016um_00152_00165-1,10
s_016um_00124_00010-1,10
s_016um_00256_00057-1,8
s_016um_00263_00391-1,16
s_016um_00310_00021-1,8
s_016um_00338_00261-1,18
s_016um_00029_00310-1,8
s_016um_00227_00010-1,18
s_016um_00119_00136-1,10
s_016um_00093_00384-1,20
s_016um_00274_00066-1,16
s_016um_00125_00207-1,6
s_016um_00019_00184-1,8
s_016um_00359_00340-1,11
s_016um_00189_00289-1,18
s_016um_00201_00264-1,5
s_016um_00041_00345-1,1
s_016um_00209_00097-1,3
s_016um_00266_00036-1,11
s_016um_00306_00228-1,16
s_016um_00027_00271-1,12
s_016um_00005_00226-1,9
s_016um_00018_00100-1,8
s_016um_00225_00160-1,6
s_016um_00305_00326-1,11
s_016um_00209_00364-1,11
s_016um_00242_00294-1,17
s_016um_00009_00133-1,6
s_016um_00132_00298-1,19
s_016um_00136_00236-1,6
s_016um_00310_00266-1,16
s_016um_00343_00303-1,17
s_016um_00200_00077-1,9
s_016um_00331_00366-1,1
s_016um_00384_00258-1,8
s_016um_00204_00098-1,6
s_016um_00197_00239-1,16
s_016um_00242_00158-1,12
s_016um_00219_00239-1,7
s_016um_00008_00131-1,6
s_016um_00030_00396-1,13
s_016um_00018_00314-1,8
s_016um_00156_00391-1,3
s_016um_00204_00316-1,17
s_016um_00119_00250-1,5
s_016um_00173_00188-1,6
s_016um_00262_00373-1,16
s_016um_00048_00172-1,8
s_016um_00275_00308-1,11
s_016um_00252_00108-1,13
s_016um_00081_00355-1,17
s_016um_00275_00321-1,17
s_016um_00172_00284-1,5
s_016um_00316_00065-1,4
s_016um_00073_00011-1,6
s_016um_00269_00388-1,16
s_016um_00285_00244-1,10
s_016um_00298_00122-1,13
s_016um_00271_00319-1,18
s_016um_00243_00096-1,17
s_016um_00082_00171-1,6
s_016um_00019_00383-1,1
s_016um_00192_00279-1,4
s_016um_00055_00270-1,8
s_016um_00050_00356-1,11
s_016um_00151_00017-1,18
s_016um_00204_00327-1,16
s_016um_00161_00399-1,15
s_016um_00255_00199-1,1
s_016um_00114_00387-1,4
s_016um_00125_00285-1,5
s_016um_00323_00391-1,3
s_016um_00255_00288-1,1
s_016um_00036_00285-1,5
s_016um_00101_00364-1,1
s_016um_00201_00361-1,4
s_016um_00308_00026-1,8
s_016um_00241_00258-1,4
s_016um_00156_00163-1,17
s_016um_00286_00294-1,4
s_016um_00046_00054-1,8
s_016um_00258_00271-1,20
s_016um_00277_00324-1,17
s_016um_00138_00404-1,11
s_016um_00131_00343-1,16
s_016um_00163_00048-1,6
s_016um_00074_00120-1,9
s_016um_00124_00324-1,13
s_016um_00175_00340-1,17
s_016um_00156_00311-1,5
s_016um_00094_00376-1,18
s_016um_00283_00252-1,14
s_016um_00058_00356-1,16
s_016um_00327_00344-1,11
s_016um_00159_00344-1,18
s_016um_00116_00414-1,1
s_016um_00058_00347-1,17
s_016um_00308_00382-1,11
s_016um_00018_00177-1,6
s_016um_00270_00063-1,20
s_016um_00008_00058-1,6
s_016um_00240_00392-1,9
s_016um_00270_00240-1,11
s_016um_00055_00203-1,8
s_016um_00226_00246-1,13
s_016um_00098_00356-1,17
s_016um_00281_00314-1,11
s_016um_00316_00344-1,11
s_016um_00246_00185-1,16
s_016um_00097_00178-1,15
s_016um_00276_00230-1,18
s_016um_00301_00019-1,8
s_016um_00016_00227-1,8
s_016um_00216_00063-1,6
s_016um_00174_00299-1,11
s_016um_00053_00181-1,8
s_016um_00046_00356-1,8
s_016um_00141_00364-1,1
s_016um_00112_00110-1,10
s_016um_00130_00318-1,19
s_016um_00322_00381-1,11
s_016um_00186_00328-1,18
s_016um_00071_00143-1,8
s_016um_00270_00010-1,17
s_016um_00181_00248-1,5
s_016um_00022_00281-1,8
s_016um_00049_00210-1,8
s_016um_00207_00194-1,6
s_016um_00019_00260-1,8
s_016um_00140_00076-1,20
s_016um_00283_00102-1,14
s_016um_00255_00318-1,16
s_016um_00203_00283-1,17
s_016um_00304_00401-1,16
s_016um_00280_00342-1,16
s_016um_00173_00022-1,10
s_016um_00005_00150-1,8
s_016um_00025_00133-1,6
s_016um_00025_00283-1,12
s_016um_00087_00253-1,5
s_016um_00316_00243-1,16
s_016um_00272_00147-1,11
s_016um_00225_00087-1,7
s_016um_00231_00304-1,17
s_016um_00217_00348-1,10
s_016um_00343_00381-1,3
s_016um_00231_00211-1,8
s_016um_00212_00063-1,9
s_016um_00200_00360-1,4
s_016um_00151_00031-1,10
s_016um_00004_00412-1,8
s_016um_00165_00410-1,11
s_016um_00207_00149-1,9
s_016um_00016_00354-1,8
s_016um_00091_00347-1,11
s_016um_00335_00299-1,13
s_016um_00298_00106-1,11
s_016um_00165_00395-1,8
s_016um_00244_00344-1,1
s_016um_00233_00287-1,17
s_016um_00121_00000-1,10
s_016um_00082_00360-1,1
s_016um_00264_00111-1,11
s_016um_00264_00385-1,11
s_016um_00147_00284-1,5
s_016um_00064_00219-1,8
s_016um_00205_00257-1,14
s_016um_00105_00057-1,9
s_016um_00211_00093-1,6
s_016um_00082_00087-1,9
s_016um_00302_00321-1,11
s_016um_00184_00383-1,14
s_016um_00206_00296-1,11
s_016um_00203_00275-1,9
s_016um_00098_00365-1,11
s_016um_00045_00067-1,6
s_016um_00010_00015-1,6
s_016um_00186_00289-1,18
s_016um_00295_00048-1,8
s_016um_00097_00020-1,6
s_016um_00297_00001-1,8
s_016um_00242_00254-1,14
s_016um_00284_00337-1,17
s_016um_00359_00243-1,8
s_016um_00354_00322-1,17
s_016um_00244_00244-1,17
s_016um_00026_00209-1,8
s_016um_00354_00372-1,18
s_016um_00245_00202-1,1
s_016um_00272_00185-1,8
s_016um_00164_00128-1,15
s_016um_00034_00048-1,8
s_016um_00096_00415-1,11
s_016um_00009_00000-1,8
s_016um_00038_00276-1,5
s_016um_00084_00384-1,11
s_016um_00021_00159-1,3
s_016um_00098_00267-1,5
s_016um_00352_00373-1,18
s_016um_00256_00010-1,16
s_016um_00246_00055-1,11
s_016um_00042_00190-1,8
s_016um_00319_00067-1,8
s_016um_00288_00066-1,18
s_016um_00041_00207-1,8
s_016um_00345_00374-1,3
s_016um_00065_00246-1,11
s_016um_00173_00343-1,1
s_016um_00099_00142-1,6
s_016um_00048_00131-1,9
s_016um_00246_00160-1,18
s_016um_00304_00256-1,13
s_016um_00085_00415-1,12
s_016um_00223_00107-1,12
s_016um_00119_00221-1,6
s_016um_00277_00081-1,16
s_016um_00256_00181-1,8
s_016um_00298_00387-1,20
s_016um_00124_00318-1,5
